time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.26702788486e-07,1.14654368115e-06,10.0031324543,0.000808865144009,0.000223693955414,0.0,-1.99471443953e-05,8.84683737063e-05,0.104410551178,0.0319411848109,0.0103008802536,0.0,438.04400932857016,438.89955469491224,436.79270551570335,439.4478693385668
0.12000000000000001,-7.24230387669e-06,2.62943797699e-05,10.0087204758,0.00228472832512,0.000946556741317,0.0,-0.000270307990504,0.000897940418394,0.0818587761484,0.00287038716708,0.0153304970471,0.0,395.22559569005995,395.6887047525565,398.13134691056445,395.46323916301515
0.18,-4.55071940773e-05,0.000125955755648,10.0157756448,0.00223868376698,0.00174225397529,0.0,-0.00108940674058,0.00243145801933,0.153305888969,-0.00927227134818,0.00876474517974,0.0,428.1327005274093,427.5736971504259,428.17988443128274,427.145823705347
0.23999999999999996,-0.000154663858411,0.000322821219608,10.0310498216,0.00192851862726,0.00239310668465,0.0,-0.00261836947506,0.00408109552889,0.355791490666,0.00198128116011,0.0147178195685,0.0,468.33761043745284,468.80019654589927,467.66193467317396,468.5376026339887
0.3,-0.000361035531696,0.000604687026111,10.0537267713,0.00199215721916,0.00388512436805,0.0,-0.00437694424478,0.00532301911584,0.400091639679,-0.000847463699932,0.0398850340457,0.0,418.03299033321053,420.2200825059908,418.99535526275963,418.7493742554245
0.36000000000000004,-0.000713453708571,0.000965088860539,10.080807803,0.00176855485781,0.0063492415322,0.0,-0.00761888923456,0.00667699236746,0.502568182105,-0.0102171264977,0.0433359204116,0.0,438.6623622773146,438.949698767328,437.32955352156716,436.5486149683964
0.4200000000000001,-0.00132143714538,0.00140233442055,10.1153955647,0.000732118125398,0.00861566124778,0.0,-0.0129157838602,0.00781462687855,0.650282432453,-0.0376638010286,0.0233104266809,0.0,452.4810397401176,450.8668882559789,453.5845526858085,451.3752912016337
0.48000000000000015,-0.00227436425191,0.00187782597234,10.1567556181,6.28113505551,0.0104307892474,0.0,-0.0190094344048,0.00779824765803,0.728337540555,-0.07608010491,0.041405025678,0.0,430.1678297669681,431.69746546242493,431.3732457452172,428.1155638467727
0.5400000000000001,-0.00364826498001,0.00228410150038,10.2042275672,6.27693881593,0.0128107214109,0.0,-0.0270439253251,0.0052833897438,0.853970300498,-0.059852143962,0.0359384803645,0.0,445.7665203408707,445.32043901326534,444.8658978048141,446.1886982109232
0.6000000000000002,-0.00555641804587,0.00245198506145,10.2594203942,6.27285117666,0.014942288352,0.0,-0.0367886053447,-8.52380088922e-05,0.98567969172,-0.0949028947929,0.0346885537144,0.0,448.2390550137585,448.13802183994153,448.49979372528384,445.6402622893612
0.6600000000000003,-0.00808501033057,0.00220804096178,10.3218652324,6.26694967512,0.0168390238148,0.0,-0.0477030712284,-0.00864391385297,1.09570474529,-0.106356470084,0.0246153467359,0.0,441.02469427634105,440.1923664863302,442.07817484932826,441.1250518505416
0.7200000000000003,-0.0112785380202,0.00135247217628,10.3893078915,6.26084310163,0.0182384923001,0.0,-0.0588846125124,-0.0204695681832,1.15231456673,-0.0939129077197,0.0206093106085,0.0,424.2207210917804,423.8767119090581,423.82655346918443,424.88497439979585
0.7800000000000004,-0.0152188529698,-0.000391062191769,10.4628261847,6.25529974229,0.0195238614551,0.0,-0.0725937617015,-0.0382523356402,1.2981227607,-0.089506129521,0.0230019742126,0.0,451.7282933609352,451.9211666628453,453.2749783692677,453.62192483958466
0.8400000000000004,-0.020048019475,-0.00337741648956,10.5469823354,6.24989553593,0.0208064763545,0.0,-0.0885311808897,-0.0619215220837,1.50680741877,-0.0912217802052,0.0179111434987,0.0,470.74657371972745,470.3524909498495,473.36718558383706,473.2289089335286
0.9000000000000005,-0.0257347011964,-0.00770406260984,10.6375466122,6.24436602424,0.022115063744,0.0,-0.101130686686,-0.0827835894227,1.5119741656,-0.0940996304199,0.0286460218468,0.0,408.1179907757948,409.0749974133475,407.9267860288429,407.6617408447387
0.9600000000000005,-0.0323834905877,-0.0137019982218,10.7364749062,6.2392612436,0.0235566052194,0.0,-0.120691756448,-0.117812598647,1.78521467634,-0.071359313194,0.0126553336212,0.0,492.1054054799998,490.92043413601795,490.11577210267734,491.7974011429326
1.0200000000000005,-0.040205294154,-0.0218647142233,10.8503766718,6.23458524347,0.023917210869,0.0,-0.14010062265,-0.154795425926,2.01111133375,-0.0962228629089,-0.0125939559058,0.0,478.7284343313637,476.80342671506276,480.1810961244971,478.2867135843895
1.0800000000000005,-0.0490324660094,-0.0320311407389,10.9710590285,6.22882109579,0.0228589628521,0.0,-0.154061986394,-0.184589213174,2.01160560407,-0.0957636509196,-0.0303512460278,0.0,409.16168310371353,407.57779004859594,408.7192974126432,408.7514660092174
1.1400000000000006,-0.0588125109841,-0.0444225281595,11.0978100328,6.22284764588,0.0216200914293,0.0,-0.171758261233,-0.22912105284,2.21301915268,-0.108487609866,-0.00613116287659,0.0,470.7832927533824,472.65345523193093,473.24027709161743,472.25192724082524
1.2000000000000006,-0.0695248484527,-0.0593292041676,11.231740719,6.21608617651,0.0208497366012,0.0,-0.185270738976,-0.26837856432,2.25121825924,-0.122795409508,-0.0317048012924,0.0,422.95532712702277,420.74716069325217,423.1917729766858,421.94627865590627
1.2600000000000007,-0.0810081552703,-0.0766538181803,11.3669658069,6.20860129628,0.0192533998596,0.0,-0.197353892782,-0.309761534922,2.25622470776,-0.128966305722,-0.017978695861,0.0,410.07653114049185,411.2937150111104,412.33402195850863,411.77299642762523
